"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M04","April","M","Monthly","USM","Million US dollar","2022","","","","12099.084185"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M04","April","M","Monthly","USM","Million US dollar","2021","","","","9366.509032"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M04","April","M","Monthly","USM","Million US dollar","2020","","","","3492.847178"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M04","April","M","Monthly","USM","Million US dollar","2019","","","","9493.179943"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M04","April","M","Monthly","USM","Million US dollar","2018","","","","9277.299801"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M05","May","M","Monthly","USM","Million US dollar","2018","","","","10096.076321"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M05","May","M","Monthly","USM","Million US dollar","2019","","","","9961.385052"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M05","May","M","Monthly","USM","Million US dollar","2020","","","","6239.051901"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M05","May","M","Monthly","USM","Million US dollar","2021","","","","9619.079584"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M05","May","M","Monthly","USM","Million US dollar","2022","","","","12518.203306"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M05","May","M","Monthly","USM","Million US dollar","2023","","","","11576.732823"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M05","May","M","Monthly","USM","Million US dollar","2024","","","","11684.97714"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M05","May","M","Monthly","USM","Million US dollar","2025","","","","11583.281938"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M05","May","M","Monthly","USM","Million US dollar","2017","","","","9068.039692"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M06","June","M","Monthly","USM","Million US dollar","2025","","","","12115.728039"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M06","June","M","Monthly","USM","Million US dollar","2024","","","","10459.350713"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M06","June","M","Monthly","USM","Million US dollar","2023","","","","11312.381288"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M06","June","M","Monthly","USM","Million US dollar","2022","","","","13209.440182"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M06","June","M","Monthly","USM","Million US dollar","2021","","","","10531.051136"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M06","June","M","Monthly","USM","Million US dollar","2020","","","","7146.583091"
